id,name,type,quality,faction,cost,skill_summary,awakening,image,version,source
effect-absorb,吸纳人才,效果牌,1,通用,,卡牌4选1（英雄牌）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/c19f8cc793b5be537af7b6e78c47482d9ff61700c7bd050e36812f5d39376c65.webp,官方 2026-08-28,官方卡牌资料
effect-7051,1阶英雄兑换券,效果牌,1,通用,,卡牌3选1（1阶英雄牌）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/f0ff53c64e8d2c622bf7eb50fbc932f5c30a347013a4f02794b3c65eef403814.webp,官方 2026-08-28,官方卡牌资料
effect-study,研读会,效果牌,1,通用,,获得3棋手经验。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/84a62e6545fa5e54c32ed2316d6038d752a1d0fdc64e10940a848079c42844a1.webp,官方 2026-08-28,官方卡牌资料
effect-7002,高级人才,效果牌,1,通用,,随机获得1张特定品阶（棋手等级+1）的英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/a321e8f3a3340886b359d1c3f19a6acdee305e0cba38a82310e8aadd078c226d.webp,官方 2026-08-28,官方卡牌资料
effect-protect,援护战术,效果牌,1,逐鹿,,转瞬 全体【逐鹿】英雄本回合获得50（+25×战术牌打出次数，当前：75）点护盾。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/9cf22de33a068b3faec6df928c3ace19c4a95e7de20094a9725ac0987391472f.webp,官方 2026-08-28,官方卡牌资料
effect-coin,古币,效果牌,1,河洛,,转瞬 指定1名【河洛】英雄等级+2。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/8f0b11d964aa04b93e0311a2b311de53c732110f2bf8f64994286af267ecee98.webp,官方 2026-08-28,官方卡牌资料
effect-7087,惊喜补贴,效果牌,1,通用,,获得3次免费刷新。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/c27069c2db7b0b9bebc8d8caafbaf881114109a328b8860e8510b6c8fb6fec9d.webp,官方 2026-08-28,官方卡牌资料
effect-7541,跳级,效果牌,2,日落海,,使1名英雄夺取阿科米亚核心至多5级。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/8cd8de6c7547fc3d4c13f8a5ff9655ebbb19c872d8d21090de36091bb0254049.webp,官方 2026-08-28,官方卡牌资料
effect-7523,图腾仪式,效果牌,2,大河流域,,随机获得1张与图腾相关的【大河流域】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/5e57bf2600a7bb0e82172c14f08a9b42cd012043f9ca751582cbb1d267286bf4.webp,官方 2026-08-28,官方卡牌资料
effect-7519,2阶英雄,效果牌,2,无阵营,,获得2张2阶英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/abd322501ab9dc368a36dd10a437dddfccc7b898374d7cd9f755cbceefa329c6.webp,官方 2026-08-28,官方卡牌资料
effect-7502,古币多多,效果牌,2,河洛,,获得2张古币。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/e0df8e4a9ba1ef7a7294354a9d87a7968f3b88373b15bd1c2058167f57da6d46.webp,官方 2026-08-28,官方卡牌资料
effect-307001,弦音,效果牌,2,无阵营,,指定1名1-3阶英雄，使其觉醒进度+1。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/69817d7b5bdf5aecac6e0823698fc2e976f1ea25003eb9893df07a5f02f090f0.webp,官方 2026-08-28,官方卡牌资料
effect-7052,2阶英雄兑换券,效果牌,2,通用,,卡牌3选1（2阶英雄牌）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/3166d4eb9227d48312c8925baecf2844515778bc32154a6360c972660526d565.webp,官方 2026-08-28,官方卡牌资料
effect-7073,临阵磨枪,效果牌,2,通用,,指定1名英雄，触发其整备效果。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/432d830d86328fdc3a4bf07d290360e9eb51b7d570648df5bc0d1a2a5ce0038a.webp,官方 2026-08-28,官方卡牌资料
effect-7074,唤醒,效果牌,2,通用,,指定1名英雄，触发其登场效果。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/42bd824ce3ab474fe7ae7facfac25d15d1787cb271208fdb57af3c5b261225bb.webp,官方 2026-08-28,官方卡牌资料
effect-drill,演练战术,效果牌,2,逐鹿,,转瞬 所有英雄等级+1。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/057a343d94722d806af3c659f6eec95e200689c923a8c3adfd46ab3423166e27.webp,官方 2026-08-28,官方卡牌资料
effect-313011,推演战术,效果牌,2,逐鹿,,转瞬 指定1名【逐鹿】英雄，使其本回合法力值上限{推演战术:-5}（每次使用此牌都会提升效果，上限20点）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/b13d14196d6377eeef63a6542d5fee4c3cb8d006c7ebf9baa1230d8834490b4a.webp,官方 2026-08-28,官方卡牌资料
effect-313007,特训战术,效果牌,2,逐鹿,,转瞬 指定1名英雄等级+4。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/f42e17ea67af19664c8e00e22f0f75adee245beeadf99a16d19e5ea696b7b813.webp,官方 2026-08-28,官方卡牌资料
effect-313003,招募战术,效果牌,2,逐鹿,,转瞬 随机获得1张【逐鹿】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/f5ca4f69b7434069e70b8bd772f3a92b08b23e474f78b3f4d3279154c397b30a.webp,官方 2026-08-28,官方卡牌资料
effect-7040,简易协作,效果牌,2,通用,,指定1名英雄等级+3，随机1名英雄等级+2。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/9c3c03f01a29fa9e9114e42c375b0a6d78460a0d29abaf7165b22589c2954359.webp,官方 2026-08-28,官方卡牌资料
effect-311003,精致古币,效果牌,3,河洛,,转瞬 指定1名【河洛】英雄等级+4。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/b8731f9cfbaab1f902e5300883a65639bb1cd4c7b321331146a490067bc11afa.webp,官方 2026-08-28,官方卡牌资料
effect-7511,无阵营征召令,效果牌,3,无阵营,,获得2张无阵营英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/7cc22b4619c3f5e35b82a0c95f70a1faec182a5035c00c0c7e845ce9f242e2b9.webp,官方 2026-08-28,官方卡牌资料
effect-7062,精密协作,效果牌,3,通用,,指定1名英雄等级+4，随机1名英雄等级+3。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/5363a1d51912fe0956f787e1db21f8c0cbd5b62b9d9a4339321405b5f950a2aa.webp,官方 2026-08-28,官方卡牌资料
effect-7061,经典研读会,效果牌,3,通用,,获得4棋手经验。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/06f68e2f909402209e0b4c3146a5e45fd1547980d3ac45fb4bff7cf8ec5cd727.webp,官方 2026-08-28,官方卡牌资料
effect-7537,八方来援,效果牌,3,无阵营,,指定1名英雄等级+2。场上每有1种阵营，额外触发1次此效果。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/90102becfc67091e9caae71f85961a8532f012c31bd98f3ea6fff9aaf97e1e28.webp,官方 2026-08-28,官方卡牌资料
effect-7053,3阶英雄兑换券,效果牌,3,通用,,卡牌3选1（3阶英雄牌）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/31eeccf29de85b43cc500c84d538711bbb3f88316fab8827c35bd52a08100c75.webp,官方 2026-08-28,官方卡牌资料
effect-7533,武装之力,效果牌,3,大河流域,,所有英雄获得等同于自身装备数量的等级。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/14fad4df3633846a30923dbf72130c7f37e11ff4ce65a310e3dd29eff8d8105d.webp,官方 2026-08-28,官方卡牌资料
effect-7041,遗志,效果牌,3,通用,,指定场上1名英雄将其移除，并转移其等级（临时等级除外）给1名随机英雄。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/54e715882361cb65133c94430b4065aad103ca14c3590bf8b535a852f887457b.webp,官方 2026-08-28,官方卡牌资料
effect-7037,呼朋唤友,效果牌,3,通用,,指定1名英雄，随机获得1张与其同阵营的英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/1a7cbaa01cee927c2261bc4f936a38a1415e8fa41bee9aaef6670824f24bdb91.webp,官方 2026-08-28,官方卡牌资料
effect-7513,整备高手,效果牌,3,无阵营,,获得2张具有整备效果的英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/3107da316e7cfa4bed220539725280278ad6c4bc3f115c3991cfd3da9e066276.webp,官方 2026-08-28,官方卡牌资料
effect-7512,登场人物,效果牌,3,无阵营,,获得2张具有登场效果的英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/76a44cb2b6d44ce55506102de8a4881882a4da4e55e8faf3e67ee01714d07d0c.webp,官方 2026-08-28,官方卡牌资料
effect-7063,广纳良才,效果牌,3,通用,,卡牌5选2（英雄牌）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/664062e9f98ed6554814539edbe990fd27041982a646d63b1b9eedfde413dbfa.webp,官方 2026-08-28,官方卡牌资料
effect-7510,大河流域征召令,效果牌,3,大河流域,,获得2张【大河流域】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/0f843c345a9be04ef5521f945641b2741806f7e39e4c74f0bf60e96d39ceb33c.webp,官方 2026-08-28,官方卡牌资料
effect-7509,日落海征召令,效果牌,3,日落海,,获得2张【日落海】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/42af11f9c5a1d7d3f2c9590138f58b8fb126acaa8d3319a61266d3d8dbb69eaf.webp,官方 2026-08-28,官方卡牌资料
effect-7508,逐鹿征召令,效果牌,3,逐鹿,,获得2张【逐鹿】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/ed319c56c4f00d2b78ca25fb8d5fbb68f22614c9fdab7db6c99fa130f4be2fb6.webp,官方 2026-08-28,官方卡牌资料
effect-7507,三分征召令,效果牌,3,三分之地,,获得2张【三分】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/6e4a3afef29964592ed2a5eb479fdd79547e3b2e7babb1a6c92f891143dc36af.webp,官方 2026-08-28,官方卡牌资料
effect-7506,河洛征召令,效果牌,3,河洛,,获得2张【河洛】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/8e1e05b6f32c3bd489548266af9569c768e34b14ac4a2158f1a7e3c0e797c9af.webp,官方 2026-08-28,官方卡牌资料
