id,name,type,quality,faction,cost,skill_summary,awakening,image,version,source
equipment-643100,风暴巨剑,装备牌,1,无阵营,1,穿戴给英雄，可以铸造成1件输出型普通装备。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/5f85b1d3566ac4e2911a5a8a533c146213a61cc6759d1a429e3cc989ffa9466c.webp,官方 2026-08-28,官方卡牌资料
equipment-643800,圣者法典,装备牌,1,无阵营,1,穿戴给英雄，可以铸造成1件法术型普通装备。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/4e1eeaedf5885cd1433fee93eac89a75ced79fbad681ec4b63aca064a7529889.webp,官方 2026-08-28,官方卡牌资料
equipment-643700,雷鸣刃,装备牌,1,无阵营,1,穿戴给英雄，可以铸造成1件输出型普通装备。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/794810be43e5e7ca97ef0169021d1bf2478fd57c458566a86babd3f003097009.webp,官方 2026-08-28,官方卡牌资料
equipment-643600,守护者之铠,装备牌,1,无阵营,1,穿戴给英雄，可以铸造成1件防御型普通装备。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/7b85783da1d4fe5f265b874628553c0360e532c4b24dd4885c984b5463622177.webp,官方 2026-08-28,官方卡牌资料
equip-belt,力量腰带,装备牌,1,无阵营,1,穿戴给英雄，可以铸造成1件防御型普通装备。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/6673b0893f15ef244765bfbf3b8fe61c0beb8b05005a34a6b0966aac39f04be5.webp,官方 2026-08-28,官方卡牌资料
equip-cup,破碎圣杯,装备牌,1,无阵营,1,穿戴给英雄，可以铸造成1件功能型普通装备。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/6d9a793df3f7d95f00910a1fbc9f71cc104a13ee3565bd749d77da3068c2621b.webp,官方 2026-08-28,官方卡牌资料
equip-spear,速击之枪,装备牌,1,无阵营,1,穿戴给英雄，可以铸造成1件输出型普通装备。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/2a6725c69013c903980391bc86ebe59e6ccf3a9b8b23e13307a67e7aad0d8a17.webp,官方 2026-08-28,官方卡牌资料
equipment-643200,大棒,装备牌,1,无阵营,1,穿戴给英雄，可以铸造成1件输出型普通装备。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/5a9f1de64faf1547bc05aebda8d47df307cc81226d94a4366366cc00216237c7.webp,官方 2026-08-28,官方卡牌资料
equipment-643503,魔女斗篷,装备牌,2,无阵营,1,法术防御力+30。战斗开始时，获得等级x5点法术护盾。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/4e056371e689dc717afabbff7d78dbde2ae77d612853367d60b75e38e9bd00aa.webp,官方 2026-08-28,官方卡牌资料
equip-643602,极寒风暴,装备牌,2,无阵营,1,唯一。受到普攻时，降低目标20%攻击速度，持续2秒。被单一目标普攻5次后，远程目标将被冻结1秒，近战目标减半。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/4b41ba773ea188f297338ad9ad99acb70bd1e6f649973f4ec13c17776d57e954.webp,官方 2026-08-28,官方卡牌资料
equipment-643805,御灵之纱,装备牌,2,无阵营,1,唯一。战斗开始时，获得等级×15点护盾。护盾被击破时对周围1格敌人造成1秒眩晕，击破者翻倍。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/107e84b79bf8116ba19a64b6e90d45dda9925cb7b908588e53e35d40cacf5fb6.webp,官方 2026-08-28,官方卡牌资料
equipment-643804,生命魔典,装备牌,2,无阵营,1,唯一。受到伤害时会为自身和周围1格的己方单位恢复5%最大生命值，冷却2秒。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/96038d5627e521779f8e61baa96b4892fb7a1cba8fcebcec05720a6b88ab57bc.webp,官方 2026-08-28,官方卡牌资料
equipment-643803,炽热支配者,装备牌,2,无阵营,1,唯一。首次受到控制效果时，获得300点护盾并在接下来的15秒内免疫控制效果（压制除外）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/9fbc0f38693699ee836dac588ee7095abfe9c0b8e4d78361af8eb5a3841fd948.webp,官方 2026-08-28,官方卡牌资料
equip-book,贤者之书,装备牌,2,无阵营,1,唯一。法力值上限-10。释放技能后获得20%基础法术攻击力，最多叠加6层。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/2fcff3aac2ecbbd55136b7ab4782a03ce240ea6213567b4ced12c172f745de4c.webp,官方 2026-08-28,官方卡牌资料
equipment-643304,铸梦·逐风,装备牌,2,无阵营,1,唯一。战斗开始及之后每过8秒，快速进行4次普通攻击。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/bf82074df2694587e89b3580bfb4fdf25795fc71f95a232c6094cdf0d21a2211.webp,官方 2026-08-28,官方卡牌资料
equip-643103,无尽巨剑,装备牌,2,无阵营,1,暴击率+30%，暴击效果+60%。暴击效果不可叠加。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/ae9ae36a9ee6eb4a2ea6d1ece0929a550dd71cdd0dc0c6f418c22af372072443.webp,官方 2026-08-28,官方卡牌资料
equip-643104,制裁之剑,装备牌,2,无阵营,1,唯一。造成伤害时降低目标30%生命恢复及护盾效果，持续10秒，不可叠加。若为普通攻击，效果提升至70%。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/eba6f1d80a7f6e06d4dafda5b23e41017b922e5c4211158ecb6c980c4406d3a2.webp,官方 2026-08-28,官方卡牌资料
equipment-643105,纯净苍穹,装备牌,2,无阵营,1,唯一。每2秒获得10点法术攻击力，同时清除自身负面状态。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/6ac3876630309f21275e0ff261d96ecf8d8191f2a0033050de76cd537a789cc1.webp,官方 2026-08-28,官方卡牌资料
equipment-643705,魔律之刃,装备牌,2,无阵营,1,唯一。释放技能时，35%概率重复释放一次。每有7级，额外提升1%概率。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/de7e3dc4534301b9ca2c523005dde31d4880b579b2e3022c5c8bb1e952ef84e0.webp,官方 2026-08-28,官方卡牌资料
equipment-643202,虚无法杖,装备牌,2,无阵营,1,唯一。获得15点法术防御穿透。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/626f2fb271efdb49fe99c5b2fbdf3a8192a0d550c3221ce1d1b9fe4b31543404.webp,官方 2026-08-28,官方卡牌资料
equip-643205,寒霜侵袭,装备牌,2,无阵营,1,唯一。普通攻击减少目标15%移速，持续5秒，最多叠加5层。叠满后目标受到的伤害提高20%，持续5秒，冷却时间10秒。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/87b9d4d375bb4f1201785565c37d1c3b414cd3b852a8d52860f1a93271492390.webp,官方 2026-08-28,官方卡牌资料
