id,name,quality,faction,template,growth_formula,L1_生命,L1_物攻,L1_法攻,L1_物防,L1_法防,L1_基础攻速,L10_生命,L10_物攻,L10_法攻,L10_物防,L10_法防,L10_基础攻速,L40_生命,L40_物攻,L40_法攻,L40_物防,L40_法防,L40_基础攻速,L100_生命,L100_物攻,L100_法攻,L100_物防,L100_法防,L100_基础攻速,L150_生命,L150_物攻,L150_法攻,L150_物防,L150_法防,L150_基础攻速,L200_生命,L200_物攻,L200_法攻,L200_物防,L200_法防,L200_基础攻速
hero-sulie,苏烈,1,河洛,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-yao,曜,1,逐鹿,战士,每级物攻+2，生命+30,300,40,0,18,18,0.8,570,63,0,18,18,0.8,1470,128,0,18,18,0.8,3270,258,0,18,18,0.8,4770,363,0,18,18,0.8,6270,468,0,18,18,0.8
hero-sunbin,孙膑,1,逐鹿,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-5031,狂铁,1,日落海,战士,每级物攻+2，生命+30,300,40,0,18,18,0.8,570,63,0,18,18,0.8,1470,128,0,18,18,0.8,3270,258,0,18,18,0.8,4770,363,0,18,18,0.8,6270,468,0,18,18,0.8
hero-1111,孙尚香,1,三分之地,416射手,每级物攻+2，生命+21,210,40,0,14,14,1,399,58,0,14,14,1.05,1029,118,0,14,14,1.1,2289,238,0,14,14,1.15,3339,338,0,14,14,1.2,4389,438,0,14,14,1.25
hero-1971,弈星,1,无阵营,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-1821,干将莫邪,1,大河流域,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-1731,李元芳,1,河洛,普通射手,每级物攻+1.8，生命+21,210,36,0,14,14,1,399,52.2,0,14,14,1.05,1029,106.2,0,14,14,1.1,2289,214.2,0,14,14,1.15,3339,304.2,0,14,14,1.2,4389,394.2,0,14,14,1.25
hero-1681,牛魔,1,无阵营,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-5141,亚连,2,日落海,法战,每级物攻+1.6，法攻+1.5，生命+30,300,32,30,18,18,0.8,570,51.4,43.5,18,18,0.8,1470,104.4,88.5,18,18,0.8,3270,210.4,178.5,18,18,0.8,4770,295.4,253.5,18,18,0.8,6270,380.4,328.5,18,18,0.8
hero-5041,米莱狄,2,日落海,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-1351,项羽,2,大河流域,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-1891,鬼谷子,2,大河流域,辅助,每级物攻+1.2，法攻+1，生命+27,270,24,20,18,18,0.6,513,34.8,29,18,20,0.6,1323,70.8,59,18,22,0.6,2943,142.8,119,18,26,0.6,4293,202.8,169,18,28,0.6,5643,262.8,219,18,30,0.6
hero-1981,梦奇,2,无阵营,法坦,每级物攻+1.2，法攻+1，生命+33,330,24,20,20,20,0.6,627,34.8,29,22,20,0.6,1617,70.8,59,25,20,0.6,3597,142.8,119,28,20,0.6,5247,202.8,169,30,20,0.6,6897,262.8,219,32,20,0.6
hero-1211,芈月,2,逐鹿,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-shenmengxi,沈梦溪,2,河洛,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-dunshan,盾山,2,河洛,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-1281,曹操,2,三分之地,战士,每级物攻+2，生命+30,300,40,0,18,18,0.8,570,63,0,18,18,0.8,1470,128,0,18,18,0.8,3270,258,0,18,18,0.8,4770,363,0,18,18,0.8,6270,468,0,18,18,0.8
hero-yuji,虞姬,2,大河流域,普通射手,每级物攻+1.8，生命+21,210,36,0,14,14,1,399,52.2,0,14,14,1.05,1029,106.2,0,14,14,1.1,2289,214.2,0,14,14,1.15,3339,304.2,0,14,14,1.2,4389,394.2,0,14,14,1.25
hero-1321,马可波罗,2,日落海,416射手,每级物攻+2，生命+21,210,40,0,14,14,1,399,58,0,14,14,1.05,1029,118,0,14,14,1.1,2289,238,0,14,14,1.15,3339,338,0,14,14,1.2,4389,438,0,14,14,1.25
hero-1071,赵云,2,三分之地,战士,每级物攻+2，生命+30,300,40,0,18,18,0.8,570,63,0,18,18,0.8,1470,128,0,18,18,0.8,3270,258,0,18,18,0.8,4770,363,0,18,18,0.8,6270,468,0,18,18,0.8
hero-1911,大乔,2,三分之地,辅助,每级物攻+1.2，法攻+1，生命+27,270,24,20,18,18,0.6,513,34.8,29,18,20,0.6,1323,70.8,59,18,22,0.6,2943,142.8,119,18,26,0.6,4293,202.8,169,18,28,0.6,5643,262.8,219,18,30,0.6
hero-gongsunli,公孙离,2,无阵营,普通射手,每级物攻+1.8，生命+21,210,36,0,14,14,1,399,52.2,0,14,14,1.05,1029,106.2,0,14,14,1.1,2289,214.2,0,14,14,1.15,3339,304.2,0,14,14,1.2,4389,394.2,0,14,14,1.25
hero-1961,百里守约,2,河洛,416射手,每级物攻+2，生命+21,210,40,0,14,14,1,399,58,0,14,14,1.05,1029,118,0,14,14,1.1,2289,238,0,14,14,1.15,3339,338,0,14,14,1.2,4389,438,0,14,14,1.25
hero-1081,墨子,2,逐鹿,法坦,每级物攻+1.2，法攻+1，生命+33,330,24,20,20,20,0.6,627,34.8,29,22,20,0.6,1617,70.8,59,25,20,0.6,3597,142.8,119,28,20,0.6,5247,202.8,169,30,20,0.6,6897,262.8,219,32,20,0.6
hero-1951,百里玄策,2,河洛,刺客,每级物攻+2，生命+24,240,40,0,16,16,0.8,456,58,0,16,16,0.8,1176,118,0,16,16,0.8,2616,238,0,16,16,0.8,3816,338,0,16,16,0.8,5016,438,0,16,16,0.8
hero-1051,廉颇,2,逐鹿,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-5271,蒙恬,2,逐鹿,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-1841,蔡文姬,2,三分之地,辅助,每级物攻+1.2，法攻+1，生命+27,270,24,20,18,18,0.6,513,34.8,29,18,20,0.6,1323,70.8,59,18,22,0.6,2943,142.8,119,18,26,0.6,4293,202.8,169,18,28,0.6,5643,262.8,219,18,30,0.6
hero-yunzhongjun,云中君,3,大河流域,刺客,每级物攻+2，生命+24,240,40,0,16,16,0.8,456,58,0,16,16,0.8,1176,118,0,16,16,0.8,2616,238,0,16,16,0.8,3816,338,0,16,16,0.8,5016,438,0,16,16,0.8
