id,name,trigger,definition,mechanics_id,evidence_level
entry,登场,使用卡牌后,使用此卡牌后，触发效果。,entry,官方规则
combat-start,开团,战斗开始时,战斗开始时，触发效果。,combat-start,官方规则
prepare,整备,回合开始时,回合开始时，触发效果。,prepare,官方规则
sacrifice,牺牲,英雄阵亡时,英雄阵亡时，触发效果。,sacrifice,官方规则
synthesis,合成,打出同名牌时,使用场上已存在的英雄牌，与场上英雄结合，使其强化。,synthesis,官方规则
flash,闪现,战斗开始时,战斗开始时，英雄会跳跃至敌方战场的镜像位置。,,官方规则
seize,夺取,使用卡牌时,使用此卡牌时，夺取周围1格随机1名己方英雄的等级（最多10级，不包含临时等级）。,,官方规则
temporary-level,临时等级,战斗结束时,战斗结束时，临时等级将会被清除。,temporary-level,官方规则
transient,转瞬,回合结束时,回合结束时自动销毁，且出售不会获得能量。,,官方规则
revive,复生,阵亡后,英雄在阵亡后会复活，并恢复50%生命值（每名英雄单回合最多复活10次）。,,官方规则
triumph,凯旋,胜利时,英雄上阵期间若战斗胜利，触发效果。,triumph,官方规则
defeat,败阵,失败时,英雄上阵期间若战斗失败，触发效果。,,官方规则
exit,退场,被出售时,场上的此英雄被出售时，触发效果。,exit,官方规则
