author,title,chessplayer,chessplayer_id,related_wiki_preset,evidence_level
西君,白歌三分倒转！全员999强力阵容,白歌,player-baige,白歌三分倒转,作者经验
哈基米德,香香图腾开团射！成型即碾压全场,香香,player-xiangxiang,香香低阶开团射（近似）,作者经验
鲨师傅,常小娥海陆空！新手小白轮椅流,常小娥,player-changxiaoe,,作者经验
冬瓜汤,闹闹日落海整备流！新手丝滑上分首选,闹闹,player-naonao,闹闹整备流,作者经验
老霹雳,瑶妹李信牺牲流！学会就能稳稳上分,瑶妹,player-yaomei,瑶妹牺牲流李信,作者经验
欧洲鱼,马可养猪流！简单好玩瞬秒脆皮,马可,player-make,,作者经验
厌小修,姜导养玄策！一看即会轻松夺冠,姜导,player-jiangdao,姜导玄策,作者经验
厌小修,乔汐司空震！强力轮椅黑科技,乔汐,player-qiaoxi,乔汐司空震,作者经验
暗藏玄G,小妲己逐鹿战术牌流！高爽感新手必学,小妲己,player-xiaodaji,,作者经验
鲨师傅,庄小鱼古币花木兰！无限复活横扫全场,庄小鱼,player-zhuangxiaoyu,庄小鱼无限复活花木兰,作者经验
流云,明先生泳池派对！全屏召唤派对狂欢,明先生,player-mingxiansheng,明先生泳池派对（-1/-2/-3）,作者经验
韩桑不断更,玉环日落海倒转！高上限新手必学,玉环,player-yuhuan,玉环日落海倒转,作者经验
