id,name,type,quality,faction,cost,skill_summary,awakening,image,version,source
talent-623002,复印机,天赋牌,1,通用,,获得2张天赋牌复印机：指定1名1-3阶英雄，获得该英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/2fb87b343abb9d8ee6a88702fcafe138201afe0bb3079a4c9fcb363d05f14245.webp,官方 2026-08-28,官方卡牌资料
talent-613003,里程碑,天赋牌,1,通用,,棋手到达5级时，获得6能量、1张装备箱。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/192308e8b3b8e44a7aeefa539fca417667fcedf303288544ee98f7c421658c90.webp,官方 2026-08-28,官方卡牌资料
talent-635041,三分新援,天赋牌,1,通用,,获得2能量，以及随机1张2-3阶【三分】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/d9c07eed04ecd35c9452bfd64032d4f192bf49e99907c425a0e8e18144a817aa.webp,官方 2026-08-28,官方卡牌资料
talent-613005,整装待发,天赋牌,1,通用,,若回合内没有打出英雄牌，下回合开始时，获得2能量。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/2e58a150ac192b672227ec657584844914f002c29a86f120738a39ca367a037f.webp,官方 2026-08-28,官方卡牌资料
talent-613006,先苦后甜,天赋牌,1,通用,,选取天赋后，当你输掉2场战斗时，获得6棋手经验。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/d1cada7f1964e8ac8df48853b026df242accb0f3a4c793ef6f0f77497af020eb.webp,官方 2026-08-28,官方卡牌资料
talent-613007,防御领域,天赋牌,1,通用,,棋手每次受到的伤害减少2点。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/f8f1b6738dbb1f7ac28d6ee2fe81a37827605aa18d54f4126313c7bd050e40ff.webp,官方 2026-08-28,官方卡牌资料
talent-635036,日落海新援,天赋牌,1,通用,,获得2能量，以及随机1张2-3阶【日落海】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/a3bbf10ceee6f2cffdc8db99e503112219e8d9aa7ce690ae09b34bbcdd53b476.webp,官方 2026-08-28,官方卡牌资料
talent-671003,存款利息,天赋牌,1,通用,,获得3能量。回合结束时，你每有7能量，额外获得1能量。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/30a1ba53488b12803b4d6e84ac882e09a5c279d7c02ef94d3c5a703c4c29e30f.webp,官方 2026-08-28,官方卡牌资料
talent-635031,大河新援,天赋牌,1,通用,,获得2能量，以及随机1张2-3阶【大河流域】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/533e635b513ba81bf9c5de93bbcb0a9911b20b35df38b33bef4cc5d29e400f8b.webp,官方 2026-08-28,官方卡牌资料
talent-681028,破格,天赋牌,1,通用,,回合开始商店自动刷新时，会出现1个高1阶英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/7f7a570286633032de8b71084aeae8803f1b18c5bd7a3e97ac90f92bba538209.webp,官方 2026-08-28,官方卡牌资料
talent-635026,逐鹿新援,天赋牌,1,通用,,获得2能量，以及随机1张2-3阶【逐鹿】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/e62693a0f0b944f7a21c66218f576ef70504ef197a5ad6c61eb0196d29aa07de.webp,官方 2026-08-28,官方卡牌资料
talent-671010,二象性,天赋牌,1,通用,,获得1张天赋牌二象坍缩：随机生效1个获取英雄牌的效果（详情查看关联卡牌）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/44787b4cf7aa7c9cab6e60ec083dc953d7b714e8e73e5b945732adb1640d9b4b.webp,官方 2026-08-28,官方卡牌资料
talent-635014,河洛新援,天赋牌,1,通用,,获得2能量，以及随机1张2-3阶【河洛】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/3ad6ed8ed32cf66e5f424c40dcc41ea929a1fc0a5be00e3e1f7eb7c0e201063e.webp,官方 2026-08-28,官方卡牌资料
